"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1218 0.0752119080254161 2 14 "GO:0000470" "maturation of LSU-rRNA" 0.210564187661375
862 0.142777562009106 2 19 "GO:0000479" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.325576228846725
441 0.568177573071738 4 11 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.755778036690544
-1029 0.119675669270655 2 15 "GO:0000578" "embryonic axis specification" 0.291123599837814
-1653 0.00041224600400285 4 30 "GO:0000723;GO:0032200" "telomere organization" 0.0047874307682244
-1089 2.81300553578623e-05 2 98 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.000521773457367015
-2241 0.00106293847362267 2 14 "GO:0000727" "double-strand break repair via break-induced replication" 0.0102126210900941
365 0.191228478796079 2 85 "GO:0000902" "cell morphogenesis" 0.396253892059214
-1301 0.00544761297926585 5 30 "GO:0000915;GO:0000912;GO:0044837" "actomyosin contractile ring assembly" 0.0324789604187926
-616 0.00118833885004235 2 185 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.0110596674544171
-241 0.547840472996816 2 41 "GO:0000959" "mitochondrial RNA metabolic process" 0.740152707827261
882 0.276037301438531 2 10 "GO:0001178" "regulation of transcriptional start site selection at RNA polymerase II promoter" 0.493174335881148
250 0.633109738865105 4 24 "GO:0001501" "skeletal system development" 0.799952962468101
596 0.202655217584217 2 30 "GO:0001503" "ossification" 0.408610298925257
1298 0.0113212535162354 5 25 "GO:0001504" "neurotransmitter uptake" 0.0550975548139395
1831 9.1795781739371e-05 2 30 "GO:0001508" "action potential" 0.00143383937442023
-280 0.474329822483376 5 43 "GO:0001510" "RNA methylation" 0.684090148948757
415 0.504606340926071 2 17 "GO:0001522" "pseudouridine synthesis" 0.705656301891904
1901 0.0188959607687092 2 10 "GO:0001523;GO:0016101" "retinoid metabolic process" 0.0791083247856148
1021 0.000120124560918995 3 94 "GO:0001525" "angiogenesis" 0.00181272713115613
-35 0.942968843642465 2 27 "GO:0001541" "ovarian follicle development" 0.970585657560317
-6 0.974020638127573 2 191 "GO:0001558" "regulation of cell growth" 0.985069544052309
-272 0.513570587969652 3 38 "GO:0001568" "blood vessel development" 0.711856274243353
581 0.431725413522119 4 12 "GO:0001570" "vasculogenesis" 0.647830662650326
-137 0.810573283963643 2 20 "GO:0001578" "microtubule bundle formation" 0.89744021911188
-228 0.670310610800186 4 23 "GO:0001649" "osteoblast differentiation" 0.822793952871
187 0.403352417082476 5 133 "GO:0001654;GO:0007423" "sensory organ development" 0.626368782574008
387 0.45009048754765 3 25 "GO:0001662;GO:0002209;GO:0042596" "behavioral defense response" 0.664099521823342
-70 0.733841802112102 2 158 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.851364462924505
775 0.0591685930398856 2 39 "GO:0001676" "long-chain fatty acid metabolic process" 0.180410173526866
221 0.330972320049846 5 129 "GO:0001701;GO:0043009" "chordate embryonic development" 0.5563417664274
-775 0.176342890392545 2 20 "GO:0001702" "gastrulation with mouth forming second" 0.373522490276358
212 0.697508320756743 4 22 "GO:0001707;GO:0001704" "formation of primary germ layer" 0.835267116615848
-262 0.478960420441253 2 48 "GO:0001708" "cell fate specification" 0.687797463977735
84 0.803612418553694 3 58 "GO:0001709" "cell fate determination" 0.892865544907203
1187 0.0947343165495616 2 13 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.248073881866548
1602 0.000765774385702998 4 29 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.00792784257446786
1842 0.0127222328917469 2 12 "GO:0001737;GO:0042067" "establishment of ommatidial planar polarity" 0.0596159369365894
369 0.577175333657398 5 15 "GO:0001738" "morphogenesis of a polarized epithelium" 0.761005348438822
515 0.129821501892268 2 57 "GO:0001745" "compound eye morphogenesis" 0.305310414559473
285 0.499437203756854 6 37 "GO:0001754;GO:0046530;GO:0001751" "photoreceptor cell differentiation" 0.703213901546946
-161 0.795171956194116 2 17 "GO:0001756" "somitogenesis" 0.888622339096443
-466 0.153311267460501 2 62 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 0.339547591531508
-111 0.777421486354241 4 43 "GO:0001764" "neuron migration" 0.878381044861327
-10 0.959875145270422 5 177 "GO:0001817" "regulation of cytokine production" 0.977546935641461
45 0.877742499343283 2 77 "GO:0001818" "negative regulation of cytokine production" 0.932186964511296
-81 0.77163894580084 6 86 "GO:0001819" "positive regulation of cytokine production" 0.875179458273479
-108 0.722331005892891 2 71 "GO:0001822" "kidney development" 0.845251315817269
-434 0.512113652439826 3 15 "GO:0001825" "blastocyst formation" 0.710574319826896
55 0.896197264069211 2 37 "GO:0001837;GO:0048762" "mesenchymal cell differentiation" 0.942150625961539
860 0.288541486945503 5 10 "GO:0001838" "embryonic epithelial tube formation" 0.510930455346739
-117 0.833949441969282 5 21 "GO:0001843;GO:0060606" "neural tube closure" 0.911407102905054
382 0.620721685892955 2 11 "GO:0001881" "receptor recycling" 0.791383113613405
563 0.350955338048418 3 18 "GO:0001885;GO:0061028" "endothelial cell development" 0.57900043726209
-154 0.63238101427689 2 64 "GO:0001889" "liver development" 0.79975837553673
-447 0.402910599244926 2 23 "GO:0001892;GO:0007492" "endoderm development" 0.626368782574008
-290 0.0234825005766319 5 419 "GO:0001932;GO:0042325" "regulation of phosphorylation" 0.0921024361823551
-34 0.825047283215027 5 295 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphate metabolic process" 0.903897167131804
-610 0.20784875796798 2 28 "GO:0001938;GO:0001936" "regulation of endothelial cell proliferation" 0.415499205433789
921 0.0269433153699909 2 38 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.101849883318212
-180 0.669290406143694 4 37 "GO:0001952" "regulation of cell-matrix adhesion" 0.822793952871
-280 0.693531426383473 2 13 "GO:0001954" "positive regulation of cell-matrix adhesion" 0.834523283662625
976 0.228166650325738 3 10 "GO:0001956;GO:0051590" "positive regulation of neurotransmitter secretion" 0.442901978938987
-296 0.476440104007948 2 38 "GO:0001960;GO:0001959;GO:0060761;GO:0060759" "regulation of response to cytokine stimulus" 0.686482955643049
341 0.0373400035992102 4 251 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.130622498531734
-213 0.717447248479828 5 19 "GO:0002011" "morphogenesis of an epithelial sheet" 0.843172784289493
251 0.653444252736033 2 21 "GO:0002027" "regulation of heart rate" 0.813918867667092
94 0.685792208368927 2 123 "GO:0002064" "epithelial cell development" 0.83141819566302
-1157 0.0626739217357394 2 17 "GO:0002065" "columnar/cuboidal epithelial cell differentiation" 0.187670453986726
226 0.70115174995562 2 19 "GO:0002082;GO:1903715" "regulation of aerobic respiration" 0.836335121159379
-42 0.931491478080338 2 28 "GO:0002090" "regulation of receptor internalization" 0.964581646105866
-228 0.730709823032546 2 15 "GO:0002092" "positive regulation of receptor internalization" 0.850054850749098
1473 0.0070240959869242 3 22 "GO:0002119" "nematode larval development" 0.0388433962341088
660 0.122365166818608 2 36 "GO:0002164" "larval development" 0.294713580317856
80 0.900377563136163 2 16 "GO:0002165" "instar larval or pupal development" 0.944662959974092
1463 0.0073948475187688 2 22 "GO:0002181" "cytoplasmic translation" 0.040064173879577
668 0.0439612986564629 2 60 "GO:0002218;GO:0002758" "activation of innate immune response" 0.146227433015458
-85 0.888604928163686 2 18 "GO:0002220" "innate immune response activating cell surface receptor signaling pathway" 0.937085815987811
1279 0.00362327658936089 3 34 "GO:0002221" "pattern recognition receptor signaling pathway" 0.024545788344072
-730 0.323687514609482 3 12 "GO:0002223;GO:1990858;GO:1990840" "response to lectin" 0.549972588853427
1209 0.0886835354565719 2 13 "GO:0002224" "toll-like receptor signaling pathway" 0.237348420044593
1310 0.00791143690363246 3 27 "GO:0002225;GO:0002760;GO:0002784;GO:0002922" "regulation of antimicrobial peptide production" 0.0423475911214475
-202 0.745720604382545 3 17 "GO:0002230;GO:0050691" "regulation of defense response to virus by host" 0.858998390004928
-168 0.654249283672994 4 47 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.813918867667092
-546 0.393808960429327 3 16 "GO:0002250" "adaptive immune response" 0.619247112594831
-108 0.874988555069316 3 14 "GO:0002251" "organ or tissue specific immune response" 0.931059213021931
111 0.637032151603142 2 121 "GO:0002252" "immune effector process" 0.80285507218409
360 0.196443048279299 5 85 "GO:0002253;GO:0002757;GO:0002764" "activation of immune response" 0.401146316478599
112 0.870378898206921 3 14 "GO:0002274" "myeloid leukocyte activation" 0.928056701441392
-1151 0.0196759647589373 2 27 "GO:0002285;GO:0002366;GO:0002263" "cell activation involved in immune response" 0.0809776608183691
233 0.585088622396427 3 36 "GO:0002412" "antigen transcytosis by M cells in mucosal-associated lymphoid tissue" 0.766816344661853
15 0.970590853469378 5 39 "GO:0002429;GO:0002768" "immune response-regulating cell surface receptor signaling pathway" 0.9830361102527
-947 0.242404298221646 3 10 "GO:0002433" "immune response-regulating cell surface receptor signaling pathway involved in phagocytosis" 0.458217891401286
-180 0.824154882933055 3 10 "GO:0002437" "inflammatory response to antigenic stimulus" 0.903660793232426
517 0.544850324169 2 9 "GO:0002443" "leukocyte mediated immunity" 0.738728535967208
-523 0.360941496222511 2 20 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 0.590349903446431
-410 0.219758296528263 2 59 "GO:0002521;GO:0030098;GO:1903131" "leukocyte differentiation" 0.431916416502568
278 0.645559812568499 3 18 "GO:0002573" "myeloid leukocyte differentiation" 0.807344498536454
1413 0.0467624622055469 2 13 "GO:0002576" "platelet degranulation" 0.15287948170259
-1147 0.0733949747785386 2 16 "GO:0002639;GO:0045191;GO:0002637;GO:0002889;GO:0002712" "regulation of immunoglobulin production" 0.20744759537934
-110 0.610224312086756 2 143 "GO:0002683" "negative regulation of immune system process" 0.785439106244458
-5 0.975283295942249 4 255 "GO:0002684" "positive regulation of immune system process" 0.985272948051481
-34 0.928186636199777 2 46 "GO:0002687;GO:0002685" "regulation of leukocyte migration" 0.962417121618635
498 0.321767869222184 2 26 "GO:0002690;GO:0002688" "positive regulation of leukocyte chemotaxis" 0.548813524069255
-107 0.6757904518302 3 102 "GO:0002697;GO:0002699" "regulation of immune effector process" 0.825348100977807
-1246 0.025896806629141 5 21 "GO:0002698" "negative regulation of immune effector process" 0.0988148150091937
178 0.589153450087783 6 61 "GO:0002702;GO:0002700" "regulation of production of molecular mediator of immune response" 0.76987713560884
-1405 0.00193480873858914 5 32 "GO:0002703" "regulation of leukocyte mediated immunity" 0.0155191415638787
-1434 0.00434841087121707 4 26 "GO:0002708;GO:0002705;GO:0002706" "regulation of lymphocyte mediated immunity" 0.0275227616991014
-262 0.655764722391363 2 19 "GO:0002718;GO:0002720" "regulation of cytokine production involved in immune response" 0.814294548353013
808 0.0624772746243078 2 35 "GO:0002759;GO:0002920" "regulation of humoral immune response" 0.187502023057895
-1239 0.00199083585016303 6 41 "GO:0002761" "regulation of myeloid leukocyte differentiation" 0.0157789986818559
-852 0.197717874765128 4 15 "GO:0002762" "negative regulation of myeloid leukocyte differentiation" 0.402825662469609
-1409 0.0165262878437598 2 19 "GO:0002763" "positive regulation of myeloid leukocyte differentiation" 0.0715424875699877
1123 0.146057005064922 2 11 "GO:0002790;GO:0015833" "peptide transport" 0.328294319979245
2455 4.78868066339164e-05 7 18 "GO:0002807;GO:0002805;GO:0006963;GO:0002808;GO:0002786;GO:0002803;GO:1900426" "positive regulation of defense response to bacterium" 0.000799410378244942
-1311 0.00163154791055486 2 38 "GO:0002822;GO:0002819" "regulation of adaptive immune response" 0.0137472065271042
-1462 0.00622082823446056 2 23 "GO:0002824;GO:0002821" "positive regulation of adaptive immune response" 0.0358099832203538
-552 0.0879734303873645 2 63 "GO:0002832" "negative regulation of response to biotic stimulus" 0.235920715426356
639 0.00504897629685868 3 128 "GO:0002833;GO:0031349" "positive regulation of defense response" 0.0307895335363231
1793 0.0202601780800777 3 11 "GO:0002862;GO:0002861" "regulation of inflammatory response to antigenic stimulus" 0.082474252347495
-130 0.860377959668813 2 12 "GO:0002931" "response to ischemia" 0.924848998024619
1175 0.0219052901569401 2 25 "GO:0003007" "heart morphogenesis" 0.0875883682772261
1245 0.000606996297754017 2 50 "GO:0003013" "circulatory system process" 0.00664461930861057
560 0.256382054661894 2 27 "GO:0003014" "renal system process" 0.47221107734987
508 0.387199250983377 3 19 "GO:0003015;GO:0060047" "heart process" 0.615234502901011
1608 0.00111771126860819 4 27 "GO:0003018" "vascular process in circulatory system" 0.0106132964923467
-604 0.433889062104355 3 11 "GO:0003170" "heart valve development" 0.649568286833654
853 0.212760954549889 2 14 "GO:0003179" "heart valve morphogenesis" 0.422830736311573
-664 0.246568143815289 3 20 "GO:0003279" "cardiac septum development" 0.462488421440054
1087 0.00205176896377667 2 53 "GO:0003333" "amino acid transmembrane transport" 0.016166002661497
853 0.0960078840521071 2 25 "GO:0003341" "cilium movement" 0.250786164450854
465 0.467939976941306 3 16 "GO:0003351;GO:0006858" "extracellular transport" 0.678170199897031
-724 0.307842283873916 3 13 "GO:0003374;GO:0090148" "membrane fission" 0.530824235137011
141 0.848866476408191 3 12 "GO:0003382" "epithelial cell morphogenesis" 0.920179528606444
900 0.266399601024148 2 10 "GO:0003383" "apical constriction" 0.483392210825747
-567 0.407902645284923 2 14 "GO:0003401" "axis elongation" 0.629409569934159
532 0.00120182029535561 2 250 "GO:0005975" "carbohydrate metabolic process" 0.0111074809996361
622 0.163511028653895 2 33 "GO:0005976" "polysaccharide metabolic process" 0.354495095401423
56 0.922418526506021 4 20 "GO:0005977;GO:0006112;GO:0044042" "energy reserve metabolic process" 0.958669215679993
-499 0.558872695170329 2 9 "GO:0005978;GO:0009250" "glycogen biosynthetic process" 0.750879762977841
-717 0.294647224350968 2 14 "GO:0005979;GO:0010962;GO:0070873" "regulation of glycogen metabolic process" 0.516610077638059
-1575 0.0112320049482359 2 17 "GO:0006000" "fructose metabolic process" 0.0549463099207657
140 0.65380575706279 5 68 "GO:0006006" "glucose metabolic process" 0.813918867667092
7 0.991944487856464 3 15 "GO:0006020" "inositol metabolic process" 0.996795984599178
749 0.0186845467576432 2 65 "GO:0006022" "aminoglycan metabolic process" 0.0783460351486107
1057 0.032221689271329 3 27 "GO:0006024;GO:0006023" "aminoglycan biosynthetic process" 0.116776298566784
757 0.0724600101867863 2 37 "GO:0006026" "aminoglycan catabolic process" 0.206178034902366
951 0.240318801684779 3 10 "GO:0006027" "glycosaminoglycan catabolic process" 0.456637347083764
905 0.0367377539084018 2 35 "GO:0006032;GO:0006030;GO:1901072;GO:0046348" "chitin metabolic process" 0.129283979827854
315 0.696935832638966 2 10 "GO:0006044" "N-acetylglucosamine metabolic process" 0.835267116615848
-138 0.814489375773039 2 19 "GO:0006071;GO:0019400" "alditol metabolic process" 0.898839595104554
966 0.0460645456204141 3 28 "GO:0006081" "cellular aldehyde metabolic process" 0.151338747050586
590 0.179526270596609 3 34 "GO:0006084" "acetyl-CoA metabolic process" 0.378464616230105
550 0.390132010606962 2 16 "GO:0006085" "acetyl-CoA biosynthetic process" 0.617705236389829
1138 0.015052426496163 5 30 "GO:0006090" "pyruvate metabolic process" 0.0671202523727068
955 2.96995000027344e-05 3 127 "GO:0006091" "generation of precursor metabolites and energy" 0.000547085272464163
-117 0.838624952123882 4 20 "GO:0006094;GO:0019319;GO:0046364" "monosaccharide biosynthetic process" 0.915767476338058
1265 0.0272447284265188 2 20 "GO:0006096" "glycolytic process" 0.102164861184386
1314 0.0103659904777354 2 25 "GO:0006103;GO:0009068" "2-oxoglutarate metabolic process" 0.0517524496561332
1063 0.189178265303215 5 10 "GO:0006108" "malate metabolic process" 0.392920020703645
-413 0.0828799077656223 2 117 "GO:0006109" "regulation of carbohydrate metabolic process" 0.226120769807944
-490 0.205118371222266 3 44 "GO:0006110;GO:0043470" "regulation of carbohydrate catabolic process" 0.411623718658657
-351 0.282485618001488 2 62 "GO:0006111;GO:0043255" "regulation of carbohydrate biosynthetic process" 0.502342933210369
1985 0.0026899479182408 2 15 "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" 0.0200694158927966
202 0.723864897481317 2 20 "GO:0006144" "purine nucleobase metabolic process" 0.845643867061901
129 0.845346195955473 -1 15 "GO:0006165" "obsolete nucleoside diphosphate phosphorylation" 0.918487053211342
580 0.350855916081222 6 17 "GO:0006172;GO:0009180;GO:0046031;GO:0009136;GO:0009188;GO:0009133" "nucleoside diphosphate biosynthetic process" 0.57900043726209
602 0.240247455620978 3 25 "GO:0006195" "purine nucleotide catabolic process" 0.456637347083764
108 0.879418735922347 5 13 "GO:0006206" "pyrimidine nucleobase metabolic process" 0.933015355512299
-291 0.51456718416795 5 33 "GO:0006221;GO:0006220;GO:0072528" "pyrimidine nucleotide metabolic process" 0.712687015251287
-301 0.638570693871031 4 16 "GO:0006241;GO:0009209;GO:0046036;GO:0009148;GO:0009208;GO:0009147" "pyrimidine nucleoside triphosphate metabolic process" 0.804159511235042
-1718 1.68926476812888e-17 3 164 "GO:0006260" "DNA replication" 2.14858390270107e-15
-1786 2.47651934478914e-07 4 55 "GO:0006261" "DNA-templated DNA replication" 8.59062749341791e-06
-846 0.105857641821731 2 24 "GO:0006264;GO:0032042" "mitochondrial DNA metabolic process" 0.268562179733146
-1158 0.00951421137717128 9 33 "GO:0006268" "DNA unwinding involved in DNA replication" 0.0483825107397817
-2846 6.36886726411747e-10 3 31 "GO:0006270" "DNA replication initiation" 3.27139316585726e-08
-1143 0.000860651207614672 4 56 "GO:0006275" "regulation of DNA replication" 0.00860629556479059
-1282 1.29968826258959e-23 5 420 "GO:0006281" "DNA repair" 3.15587940852436e-21
-941 0.00099397240701225 4 81 "GO:0006282" "regulation of DNA repair" 0.00968941715010847
-1904 0.0008896093489586 2 20 "GO:0006283" "transcription-coupled nucleotide-excision repair" 0.00876806852792775
-1697 0.000229188824606849 2 31 "GO:0006284" "base-excision repair" 0.00295731087210094
-1401 0.0581843095954078 3 12 "GO:0006285" "base-excision repair, AP site formation" 0.178222810698778
-2434 8.94609772758029e-05 4 17 "GO:0006287" "base-excision repair, gap-filling" 0.0014055898253157
-1333 0.000102766411017891 2 56 "GO:0006289" "nucleotide-excision repair" 0.00158664210305657
-1798 0.00500667396558952 2 16 "GO:0006290" "pyrimidine dimer repair" 0.030742129108252
-2740 0.000211169024367304 4 12 "GO:0006297" "nucleotide-excision repair, DNA gap filling" 0.00277848504475403
-1163 0.0541398119174436 2 18 "GO:0006298" "mismatch repair" 0.169131506001745
-845 7.41523265842571e-07 2 231 "GO:0006302;GO:0006310" "DNA recombination" 2.35786743222084e-05
-1147 0.00584508076702919 2 38 "GO:0006303" "double-strand break repair via nonhomologous end joining" 0.0341618507135312
-990 0.0096793799235102 4 45 "GO:0006304" "DNA modification" 0.0490581096313012
-767 0.134436276331308 3 25 "GO:0006306;GO:0006305" "DNA methylation" 0.31131092644466
-1252 0.122006636465403 6 10 "GO:0006312" "mitotic recombination" 0.294380962962142
-948 2.097574927343e-11 2 340 "GO:0006325;GO:0071824" "protein-DNA complex organization" 1.43656990536748e-09
-557 0.107445719397254 3 55 "GO:0006334;GO:0034728" "nucleosome organization" 0.271266082593045
-1868 0.0115410877302693 3 12 "GO:0006335" "DNA replication-dependent chromatin assembly" 0.055743662436798
-648 0.327114316528161 3 15 "GO:0006337;GO:0032986" "protein-DNA complex disassembly" 0.55263905088344
-815 3.98537513321007e-06 3 215 "GO:0006338" "chromatin remodeling" 9.42212426354494e-05
-906 0.157051513862308 -1 16 "GO:0006349" "obsolete regulation of gene expression by genomic imprinting" 0.344970882834066
-783 0.00235758509944932 5 100 "GO:0006351" "DNA-templated transcription" 0.0180237729834865
-814 0.0641773650419855 5 34 "GO:0006352" "DNA-templated transcription initiation" 0.19067602005244
-953 0.149459607592905 2 15 "GO:0006353" "DNA-templated transcription termination" 0.333784792542349
-836 0.258136932803562 4 12 "GO:0006354" "DNA-templated transcription elongation" 0.474197900631578
649 0.245834726781545 3 21 "GO:0006356" "regulation of transcription by RNA polymerase I" 0.461919399595871
-292 0.693375740865727 5 12 "GO:0006359" "regulation of transcription by RNA polymerase III" 0.834523283662625
-460 0.158625799729961 2 62 "GO:0006366" "transcription by RNA polymerase II" 0.347855614200726
-402 0.557323625295826 2 14 "GO:0006367" "transcription initiation at RNA polymerase II promoter" 0.749552569569563
-306 0.499197915835472 2 32 "GO:0006376" "mRNA splice site recognition" 0.703213901546946
-792 0.0677750333979781 3 35 "GO:0006378" "mRNA polyadenylation" 0.197627853936681
-1169 0.087732368167453 2 14 "GO:0006383" "transcription by RNA polymerase III" 0.235747641222603
74 0.779375996306156 2 95 "GO:0006399" "tRNA metabolic process" 0.879299088063382
-563 0.245401542907104 4 28 "GO:0006400" "tRNA modification" 0.461919399595871
-533 0.0548065565739338 2 86 "GO:0006406;GO:0006405" "RNA export from nucleus" 0.170814833849448
1409 0.0472680069023966 3 13 "GO:0006413" "translational initiation" 0.153966885897928
-539 0.323888761612295 5 22 "GO:0006414" "translational elongation" 0.549972588853427
-148 0.267287361108503 6 385 "GO:0006417;GO:0010608;GO:0034248" "regulation of amide metabolic process" 0.484345007816019
643 0.14363645609827 2 34 "GO:0006418;GO:0043039;GO:0043038" "amino acid activation" 0.326189548388882
-84 0.814047544559676 2 52 "GO:0006446" "regulation of translational initiation" 0.898839595104554
87 0.66254659500155 2 167 "GO:0006457" "protein folding" 0.817773546787957
374 0.00713337992562141 3 353 "GO:0006468;GO:0016310" "phosphorylation" 0.0392042341179728
-507 0.0327375077178377 5 118 "GO:0006470;GO:0016311" "dephosphorylation" 0.118311520642142
-1846 0.0168169567613331 4 11 "GO:0006474" "N-terminal protein amino acid acetylation" 0.0724485346927753
219 0.28865370914198 5 156 "GO:0006479;GO:0008213" "protein methylation" 0.510930455346739
-431 0.100909800620591 4 96 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.259412971566505
-726 0.0989530030607246 2 34 "GO:0006487" "protein N-linked glycosylation" 0.255612641368661
-1881 0.000574310955011898 4 22 "GO:0006488;GO:0006490;GO:0019348;GO:0016093" "dolichol metabolic process" 0.00636508116529784
-86 0.896295297854088 2 15 "GO:0006491" "N-glycan processing" 0.942150625961539
-433 0.49924196456077 2 16 "GO:0006493" "protein O-linked glycosylation" 0.703213901546946
-1328 0.000389569596812272 4 47 "GO:0006497" "protein lipidation" 0.00456377365388412
-792 0.216510629258821 5 16 "GO:0006506;GO:0006505" "GPI anchor metabolic process" 0.427420466186483
-45 0.933495591353443 3 23 "GO:0006509" "membrane protein ectodomain proteolysis" 0.965004104315007
-1105 0.00104750531971322 2 58 "GO:0006513" "protein monoubiquitination" 0.0101703016465989
15 0.978475740138855 6 22 "GO:0006515" "protein quality control for misfolded or incompletely synthesized proteins" 0.986602001476361
-245 0.719977928079949 2 14 "GO:0006517" "protein deglycosylation" 0.843817922729945
671 0.00542812965781427 2 114 "GO:0006518" "peptide metabolic process" 0.0324351998121296
1053 1.69037017612816e-09 5 220 "GO:0006520;GO:1901605" "amino acid metabolic process" 7.65250633972596e-08
-208 0.76181126809629 2 14 "GO:0006521" "regulation of cellular amino acid metabolic process" 0.870447958494138
917 0.343522733926563 4 7 "GO:0006531" "aspartate metabolic process" 0.570615188008613
1394 0.00152526990030095 2 34 "GO:0006536" "glutamate metabolic process" 0.0131155006455566
1242 0.0301435662198805 2 20 "GO:0006538;GO:0009065;GO:0043649" "glutamine family amino acid catabolic process" 0.109810735876225
